merchant_id,segment,converted_from,onboarding_channel,conversion_month,churn_month
M10053,regular,Check,organic,2023-01-01,2023-02-01
M10054,regular,Check,integrated,2023-01-01,
M10055,occasional,ACH,integrated,2023-01-01,2023-06-01
M10056,occasional,ACH,outreach,2023-02-01,
M10057,occasional,Check,outreach,2023-02-01,2024-04-01
M10058,occasional,Check,outreach,2023-02-01,2023-04-01
M10059,occasional,ACH,outreach,2023-02-01,2023-06-01
M10060,occasional,ACH,outreach,2023-02-01,2023-04-01
M10061,occasional,ACH,organic,2023-02-01,
M10062,regular,ACH,outreach,2023-02-01,2023-08-01
M10063,regular,Check,organic,2023-02-01,2023-03-01
M10064,regular,Check,outreach,2023-02-01,2023-04-01
M10065,regular,Check,integrated,2023-02-01,
M10066,occasional,ACH,organic,2023-02-01,
M10067,regular,Check,outreach,2023-02-01,2024-09-01
M10068,high_frequency,Check,integrated,2023-02-01,2023-12-01
M10069,occasional,Check,outreach,2023-02-01,
M10070,occasional,ACH,organic,2023-02-01,2023-11-01
M10071,high_frequency,Check,outreach,2023-02-01,2023-03-01
M10072,regular,ACH,outreach,2023-02-01,2023-12-01
M10073,high_frequency,ACH,organic,2023-02-01,2023-11-01
M10074,occasional,ACH,organic,2023-02-01,
M10075,regular,ACH,integrated,2023-02-01,
M10076,high_frequency,Check,outreach,2023-02-01,2024-11-01
M10077,high_frequency,Check,outreach,2023-02-01,2023-05-01
M10078,occasional,Check,organic,2023-02-01,2023-03-01
M10079,occasional,Check,integrated,2023-02-01,
M10080,high_frequency,ACH,organic,2023-02-01,
M10081,high_frequency,ACH,organic,2023-02-01,
M10082,regular,ACH,organic,2023-02-01,
M10083,occasional,ACH,organic,2023-02-01,2023-02-01
M10084,occasional,Check,outreach,2023-02-01,2024-11-01
M10085,occasional,Check,outreach,2023-02-01,2023-06-01
M10086,high_frequency,Check,integrated,2023-02-01,2023-08-01
M10087,regular,ACH,organic,2023-02-01,2023-02-01
M10088,occasional,ACH,outreach,2023-02-01,2023-03-01
M10089,high_frequency,Check,organic,2023-02-01,2025-01-01
M10090,occasional,Check,outreach,2023-02-01,
M10091,occasional,Check,outreach,2023-02-01,
M10092,high_frequency,Check,outreach,2023-02-01,2023-05-01
M10093,regular,ACH,outreach,2023-02-01,2023-10-01
M10094,high_frequency,Check,integrated,2023-02-01,
M10095,regular,Check,outreach,2023-02-01,2024-05-01
M10096,regular,Check,integrated,2023-02-01,2025-04-01
M10097,occasional,ACH,outreach,2023-02-01,
M10098,occasional,ACH,organic,2023-02-01,
M10099,high_frequency,Check,outreach,2023-02-01,2023-07-01
M10100,regular,Check,integrated,2023-02-01,2023-04-01
M10101,occasional,ACH,organic,2023-02-01,
M10102,regular,ACH,integrated,2023-02-01,
M10103,regular,ACH,integrated,2023-02-01,2023-10-01
M10104,high_frequency,Check,integrated,2023-02-01,2023-02-01
M10105,regular,Check,outreach,2023-02-01,2023-02-01
M10106,occasional,ACH,outreach,2023-02-01,2023-06-01
M10107,regular,ACH,integrated,2023-02-01,2023-12-01
M10108,occasional,Check,organic,2023-02-01,
M10109,occasional,Check,integrated,2023-02-01,
M10110,regular,ACH,integrated,2023-02-01,
M10111,occasional,Check,integrated,2023-02-01,
M10112,occasional,Check,organic,2023-02-01,
M10113,high_frequency,Check,organic,2023-03-01,2023-04-01
M10114,regular,Check,outreach,2023-03-01,2023-05-01
M10115,regular,ACH,organic,2023-03-01,
M10116,high_frequency,ACH,integrated,2023-03-01,
M10117,regular,Check,integrated,2023-03-01,2023-05-01
M10118,occasional,ACH,organic,2023-03-01,2023-06-01
M10119,occasional,Check,outreach,2023-03-01,
M10120,occasional,ACH,integrated,2023-03-01,2023-11-01
M10121,occasional,Check,organic,2023-03-01,2024-05-01
M10122,regular,Check,integrated,2023-03-01,2023-06-01
M10123,occasional,Check,integrated,2023-03-01,2025-09-01
M10124,occasional,ACH,organic,2023-03-01,2023-09-01
M10125,regular,Check,organic,2023-03-01,2025-08-01
M10126,occasional,Check,integrated,2023-03-01,
M10127,regular,Check,integrated,2023-03-01,
M10128,high_frequency,Check,integrated,2023-03-01,2023-11-01
M10129,high_frequency,Check,organic,2023-03-01,2023-04-01
M10130,occasional,ACH,organic,2023-03-01,
M10131,high_frequency,Check,integrated,2023-03-01,2025-09-01
M10132,occasional,Check,integrated,2023-03-01,
M10133,occasional,ACH,outreach,2023-03-01,2024-02-01
M10134,regular,Check,organic,2023-03-01,2024-03-01
M10135,occasional,Check,organic,2023-03-01,2023-05-01
M10136,high_frequency,Check,outreach,2023-03-01,2024-03-01
M10137,high_frequency,Check,outreach,2023-03-01,2023-04-01
M10138,high_frequency,ACH,organic,2023-03-01,2025-08-01
M10139,regular,ACH,organic,2023-03-01,
M10140,occasional,ACH,organic,2023-03-01,2024-08-01
M10141,high_frequency,ACH,organic,2023-03-01,2023-04-01
M10142,occasional,Check,integrated,2023-03-01,
M10143,high_frequency,ACH,integrated,2023-03-01,2023-05-01
M10144,regular,ACH,organic,2023-03-01,2023-05-01
M10145,occasional,Check,organic,2023-03-01,
M10146,occasional,Check,integrated,2023-03-01,2025-05-01
M10147,regular,ACH,organic,2023-03-01,2023-09-01
M10148,high_frequency,ACH,integrated,2023-03-01,2024-04-01
M10149,regular,Check,outreach,2023-03-01,2023-12-01
M10150,high_frequency,ACH,organic,2023-03-01,2024-12-01
M10151,high_frequency,ACH,organic,2023-03-01,2023-05-01
M10152,regular,Check,organic,2023-03-01,2023-05-01
M10153,occasional,Check,organic,2023-03-01,2023-04-01
M10154,occasional,Check,outreach,2023-03-01,
M10155,regular,Check,outreach,2023-03-01,2024-05-01
M10156,occasional,ACH,integrated,2023-03-01,
M10157,occasional,Check,outreach,2023-03-01,
M10158,regular,Check,integrated,2023-03-01,2024-10-01
M10159,occasional,Check,organic,2023-03-01,
M10160,high_frequency,ACH,organic,2023-03-01,2023-06-01
M10161,regular,ACH,organic,2023-03-01,2023-03-01
M10162,high_frequency,Check,outreach,2023-03-01,2023-03-01
M10163,regular,ACH,organic,2023-03-01,2023-04-01
M10164,occasional,Check,organic,2023-03-01,2023-07-01
M10165,occasional,Check,organic,2023-03-01,
M10166,occasional,Check,outreach,2023-03-01,2023-03-01
M10167,occasional,Check,outreach,2023-03-01,2025-10-01
M10168,high_frequency,ACH,organic,2023-03-01,2023-04-01
M10169,regular,Check,outreach,2023-03-01,2023-04-01
M10170,occasional,Check,outreach,2023-03-01,2025-07-01
M10171,regular,Check,outreach,2023-04-01,2023-04-01
M10172,high_frequency,Check,organic,2023-04-01,2023-05-01
M10173,occasional,ACH,integrated,2023-04-01,
M10174,regular,Check,integrated,2023-04-01,2023-05-01
M10175,regular,Check,integrated,2023-04-01,2024-07-01
M10176,occasional,Check,outreach,2023-04-01,2023-08-01
M10177,occasional,ACH,integrated,2023-04-01,
M10178,occasional,Check,organic,2023-04-01,
M10179,high_frequency,ACH,organic,2023-04-01,2023-10-01
M10180,high_frequency,Check,outreach,2023-04-01,2023-10-01
M10181,high_frequency,Check,outreach,2023-04-01,2023-05-01
M10182,occasional,Check,outreach,2023-04-01,
M10183,regular,ACH,organic,2023-04-01,2024-03-01
M10184,high_frequency,Check,organic,2023-04-01,2024-10-01
M10185,high_frequency,Check,integrated,2023-04-01,2023-06-01
M10186,occasional,ACH,outreach,2023-04-01,2024-08-01
M10187,occasional,Check,organic,2023-04-01,
M10188,regular,Check,integrated,2023-04-01,
M10189,high_frequency,Check,integrated,2023-04-01,2024-08-01
M10190,regular,Check,outreach,2023-04-01,2023-06-01
M10191,regular,Check,organic,2023-04-01,2023-04-01
M10192,occasional,ACH,organic,2023-04-01,2024-12-01
M10193,high_frequency,Check,outreach,2023-04-01,2023-04-01
M10194,high_frequency,Check,organic,2023-04-01,2023-06-01
M10195,regular,Check,organic,2023-04-01,2023-06-01
M10196,high_frequency,Check,integrated,2023-04-01,2023-05-01
M10197,regular,Check,organic,2023-04-01,2024-05-01
M10198,occasional,Check,outreach,2023-04-01,
M10199,regular,Check,organic,2023-04-01,2025-06-01
M10200,occasional,ACH,outreach,2023-04-01,2024-04-01
M10201,regular,Check,outreach,2023-04-01,
M10202,occasional,ACH,outreach,2023-04-01,2023-11-01
M10203,regular,Check,organic,2023-04-01,
M10204,occasional,ACH,organic,2023-04-01,2024-02-01
M10205,occasional,ACH,outreach,2023-04-01,2024-04-01
M10206,regular,Check,integrated,2023-04-01,
M10207,high_frequency,Check,integrated,2023-04-01,
M10208,regular,Check,organic,2023-04-01,2023-11-01
M10209,regular,Check,organic,2023-04-01,2024-10-01
M10210,occasional,Check,organic,2023-04-01,2025-03-01
M10211,occasional,ACH,organic,2023-04-01,
M10212,high_frequency,Check,integrated,2023-04-01,2024-01-01
M10213,occasional,Check,outreach,2023-04-01,2023-05-01
M10214,regular,Check,organic,2023-04-01,2025-04-01
M10215,occasional,Check,organic,2023-04-01,2024-06-01
M10216,regular,Check,outreach,2023-04-01,2024-07-01
M10217,regular,Check,organic,2023-04-01,2023-09-01
M10218,occasional,Check,outreach,2023-04-01,2024-06-01
M10219,high_frequency,Check,organic,2023-04-01,2023-04-01
M10220,regular,ACH,organic,2023-04-01,
M10221,occasional,Check,integrated,2023-04-01,2025-02-01
M10222,high_frequency,Check,outreach,2023-04-01,2024-05-01
M10223,regular,ACH,integrated,2023-04-01,2023-07-01
M10224,occasional,ACH,outreach,2023-04-01,2023-10-01
M10225,occasional,Check,outreach,2023-04-01,
M10226,regular,Check,organic,2023-04-01,2024-04-01
M10227,high_frequency,ACH,organic,2023-04-01,2023-06-01
M10228,high_frequency,Check,integrated,2023-04-01,2023-04-01
M10229,occasional,Check,outreach,2023-04-01,2024-03-01
M10230,occasional,ACH,outreach,2023-04-01,2024-07-01
M10231,regular,Check,outreach,2023-05-01,2024-12-01
M10232,regular,Check,outreach,2023-05-01,2024-02-01
M10233,occasional,Check,outreach,2023-05-01,2024-01-01
M10234,occasional,ACH,outreach,2023-05-01,
M10235,occasional,ACH,outreach,2023-05-01,2025-12-01
M10236,regular,Check,outreach,2023-05-01,
M10237,high_frequency,Check,integrated,2023-05-01,2025-09-01
M10238,high_frequency,ACH,outreach,2023-05-01,2023-08-01
M10239,occasional,Check,outreach,2023-05-01,2024-04-01
M10240,occasional,Check,outreach,2023-05-01,2025-01-01
M10241,high_frequency,Check,integrated,2023-05-01,
M10242,occasional,ACH,integrated,2023-05-01,2025-02-01
M10243,occasional,Check,integrated,2023-05-01,2024-04-01
M10244,high_frequency,Check,outreach,2023-05-01,2024-04-01
M10245,occasional,Check,integrated,2023-05-01,2025-03-01
M10246,occasional,ACH,outreach,2023-05-01,2023-08-01
M10247,high_frequency,Check,integrated,2023-05-01,2023-07-01
M10248,regular,Check,organic,2023-05-01,2023-06-01
M10249,occasional,Check,outreach,2023-05-01,
M10250,regular,Check,integrated,2023-05-01,2023-08-01
M10251,high_frequency,ACH,outreach,2023-05-01,2023-05-01
M10252,high_frequency,Check,integrated,2023-05-01,
M10253,occasional,ACH,outreach,2023-05-01,2024-12-01
M10254,regular,Check,outreach,2023-05-01,2023-09-01
M10255,regular,ACH,organic,2023-05-01,
M10256,occasional,ACH,outreach,2023-05-01,
M10257,occasional,Check,integrated,2023-05-01,
M10258,regular,Check,organic,2023-05-01,
M10259,occasional,ACH,organic,2023-05-01,
M10260,occasional,Check,organic,2023-05-01,
M10261,regular,Check,organic,2023-05-01,2024-07-01
M10262,regular,ACH,organic,2023-05-01,2023-05-01
M10263,occasional,ACH,integrated,2023-05-01,
M10264,regular,ACH,organic,2023-05-01,2025-01-01
M10265,occasional,ACH,organic,2023-05-01,
M10266,regular,Check,integrated,2023-05-01,2024-11-01
M10267,occasional,Check,integrated,2023-05-01,2025-08-01
M10268,regular,Check,integrated,2023-05-01,2023-05-01
M10269,high_frequency,Check,organic,2023-05-01,2023-07-01
M10270,regular,Check,outreach,2023-05-01,2023-07-01
M10271,high_frequency,Check,outreach,2023-05-01,2023-07-01
M10272,high_frequency,ACH,integrated,2023-05-01,
M10273,occasional,ACH,integrated,2023-05-01,2025-08-01
M10274,occasional,Check,organic,2023-05-01,
M10275,high_frequency,Check,integrated,2023-05-01,2023-09-01
M10276,occasional,Check,outreach,2023-05-01,2024-11-01
M10277,regular,Check,outreach,2023-05-01,2024-04-01
M10278,occasional,ACH,outreach,2023-05-01,
M10279,occasional,ACH,organic,2023-05-01,2023-06-01
M10280,high_frequency,Check,organic,2023-05-01,2023-06-01
M10281,high_frequency,Check,outreach,2023-05-01,
M10282,regular,Check,organic,2023-05-01,2023-06-01
M10283,high_frequency,Check,integrated,2023-05-01,2023-10-01
M10284,occasional,ACH,integrated,2023-05-01,
M10285,occasional,Check,integrated,2023-05-01,
M10286,regular,Check,integrated,2023-05-01,
M10287,high_frequency,ACH,outreach,2023-05-01,2023-05-01
M10288,high_frequency,ACH,outreach,2023-05-01,2023-05-01
M10289,high_frequency,Check,outreach,2023-05-01,2023-06-01
M10290,occasional,Check,outreach,2023-05-01,2023-05-01
M10291,occasional,ACH,outreach,2023-05-01,2023-06-01
M10292,occasional,Check,organic,2023-05-01,
M10293,occasional,Check,organic,2023-06-01,
M10294,regular,Check,organic,2023-06-01,2024-08-01
M10295,regular,ACH,outreach,2023-06-01,2024-02-01
M10296,regular,ACH,organic,2023-06-01,2023-12-01
M10297,occasional,ACH,organic,2023-06-01,2025-04-01
M10298,regular,ACH,organic,2023-06-01,2023-06-01
M10299,high_frequency,ACH,outreach,2023-06-01,2023-06-01
M10300,occasional,ACH,organic,2023-06-01,2024-04-01
M10301,occasional,Check,integrated,2023-06-01,
M10302,regular,ACH,integrated,2023-06-01,
M10303,occasional,ACH,organic,2023-06-01,
M10304,occasional,Check,outreach,2023-06-01,2024-05-01
M10305,regular,Check,outreach,2023-06-01,2023-07-01
M10306,regular,ACH,integrated,2023-06-01,2024-05-01
M10307,regular,Check,integrated,2023-06-01,2023-10-01
M10308,high_frequency,ACH,integrated,2023-06-01,2025-01-01
M10309,regular,ACH,organic,2023-06-01,2024-01-01
M10310,regular,Check,outreach,2023-06-01,2023-10-01
M10311,regular,Check,integrated,2023-06-01,
M10312,occasional,Check,organic,2023-06-01,2025-07-01
M10313,occasional,Check,organic,2023-06-01,
M10314,regular,Check,integrated,2023-06-01,2025-05-01
M10315,occasional,ACH,organic,2023-06-01,
M10316,occasional,ACH,integrated,2023-06-01,
M10317,occasional,Check,integrated,2023-06-01,
M10318,high_frequency,ACH,organic,2023-06-01,2023-08-01
M10319,occasional,ACH,integrated,2023-06-01,2023-07-01
M10320,occasional,Check,outreach,2023-06-01,2023-06-01
M10321,regular,Check,outreach,2023-06-01,
M10322,occasional,Check,organic,2023-06-01,
M10323,regular,Check,outreach,2023-06-01,2023-12-01
M10324,occasional,ACH,integrated,2023-06-01,
M10325,occasional,Check,organic,2023-06-01,2023-09-01
M10326,regular,ACH,organic,2023-06-01,2023-06-01
M10327,high_frequency,ACH,outreach,2023-06-01,2024-04-01
M10328,high_frequency,Check,outreach,2023-06-01,2023-07-01
M10329,high_frequency,Check,organic,2023-06-01,
M10330,occasional,Check,organic,2023-06-01,2023-11-01
M10331,regular,ACH,integrated,2023-06-01,
M10332,regular,ACH,outreach,2023-06-01,2024-05-01
M10333,regular,ACH,organic,2023-06-01,2023-11-01
M10334,high_frequency,Check,outreach,2023-06-01,2024-06-01
M10335,regular,Check,organic,2023-06-01,
M10336,occasional,Check,outreach,2023-06-01,
M10337,regular,ACH,organic,2023-06-01,2023-10-01
M10338,high_frequency,ACH,integrated,2023-06-01,2023-06-01
M10339,occasional,ACH,outreach,2023-06-01,
M10340,occasional,Check,integrated,2023-06-01,2025-12-01
M10341,regular,Check,outreach,2023-06-01,2023-11-01
M10342,regular,ACH,organic,2023-06-01,2023-09-01
M10343,high_frequency,Check,organic,2023-06-01,
M10344,occasional,ACH,organic,2023-06-01,
M10345,occasional,Check,integrated,2023-06-01,
M10346,occasional,ACH,integrated,2023-06-01,
M10347,high_frequency,Check,organic,2023-06-01,2023-08-01
M10348,occasional,Check,outreach,2023-06-01,2023-08-01
M10349,occasional,Check,outreach,2023-06-01,
M10350,regular,ACH,organic,2023-06-01,
M10351,occasional,Check,organic,2023-06-01,2025-09-01
M10352,regular,Check,outreach,2023-06-01,
M10353,occasional,Check,organic,2023-06-01,
M10354,regular,Check,outreach,2023-06-01,2023-07-01
M10355,occasional,Check,organic,2023-06-01,
M10356,regular,ACH,integrated,2023-06-01,2023-07-01
M10357,occasional,Check,organic,2023-07-01,
M10358,regular,Check,integrated,2023-07-01,
M10359,regular,Check,outreach,2023-07-01,2023-07-01
M10360,high_frequency,Check,outreach,2023-07-01,2023-10-01
M10361,high_frequency,Check,organic,2023-07-01,2025-04-01
M10362,regular,ACH,outreach,2023-07-01,2025-05-01
M10363,regular,ACH,outreach,2023-07-01,2024-08-01
M10364,regular,ACH,organic,2023-07-01,
M10365,occasional,Check,organic,2023-07-01,2024-10-01
M10366,regular,ACH,integrated,2023-07-01,2024-02-01
M10367,high_frequency,Check,outreach,2023-07-01,2024-04-01
M10368,occasional,ACH,outreach,2023-07-01,
M10369,occasional,Check,outreach,2023-07-01,
M10370,high_frequency,Check,organic,2023-07-01,2024-04-01
M10371,regular,ACH,organic,2023-07-01,2023-09-01
M10372,occasional,Check,integrated,2023-07-01,
M10373,occasional,ACH,outreach,2023-07-01,
M10374,occasional,Check,integrated,2023-07-01,
M10375,regular,ACH,integrated,2023-07-01,2024-01-01
M10376,occasional,Check,organic,2023-07-01,
M10377,high_frequency,Check,organic,2023-07-01,
M10378,occasional,Check,outreach,2023-07-01,2024-03-01
M10379,occasional,Check,outreach,2023-07-01,
M10380,regular,Check,outreach,2023-07-01,2024-08-01
M10381,occasional,ACH,outreach,2023-07-01,2023-08-01
M10382,regular,Check,organic,2023-07-01,
M10383,regular,Check,organic,2023-07-01,2024-04-01
M10384,occasional,ACH,organic,2023-07-01,
M10385,regular,Check,outreach,2023-07-01,2024-01-01
M10386,occasional,Check,organic,2023-07-01,
M10387,regular,Check,organic,2023-07-01,2023-12-01
M10388,occasional,Check,outreach,2023-07-01,2023-10-01
M10389,occasional,ACH,organic,2023-07-01,2024-11-01
M10390,occasional,Check,outreach,2023-07-01,2023-12-01
M10391,high_frequency,Check,organic,2023-07-01,2024-02-01
M10392,regular,ACH,outreach,2023-07-01,
M10393,occasional,ACH,outreach,2023-07-01,
M10394,occasional,Check,organic,2023-07-01,2024-08-01
M10395,regular,Check,integrated,2023-07-01,2024-02-01
M10396,regular,Check,integrated,2023-07-01,
M10397,regular,Check,integrated,2023-07-01,
M10398,high_frequency,ACH,outreach,2023-07-01,2023-08-01
M10399,regular,ACH,organic,2023-07-01,2024-09-01
M10400,occasional,Check,outreach,2023-07-01,
M10401,occasional,Check,outreach,2023-07-01,2025-10-01
M10402,high_frequency,ACH,organic,2023-07-01,2024-08-01
M10403,occasional,ACH,integrated,2023-07-01,2024-12-01
M10404,occasional,ACH,outreach,2023-07-01,
M10405,occasional,Check,outreach,2023-07-01,
M10406,regular,ACH,outreach,2023-07-01,2025-09-01
M10407,occasional,ACH,outreach,2023-07-01,2024-07-01
M10408,high_frequency,ACH,organic,2023-07-01,2025-11-01
M10409,regular,Check,organic,2023-07-01,2024-01-01
M10410,occasional,ACH,organic,2023-07-01,
M10411,occasional,Check,organic,2023-07-01,
M10412,occasional,Check,outreach,2023-07-01,2025-03-01
M10413,occasional,ACH,organic,2023-07-01,
M10414,regular,ACH,integrated,2023-07-01,
M10415,high_frequency,ACH,outreach,2023-07-01,2023-08-01
M10416,occasional,Check,organic,2023-07-01,2023-07-01
M10417,high_frequency,ACH,outreach,2023-07-01,2023-07-01
M10418,high_frequency,Check,organic,2023-07-01,2023-09-01
M10419,occasional,ACH,outreach,2023-07-01,
M10420,occasional,Check,organic,2023-07-01,
M10421,high_frequency,ACH,integrated,2023-07-01,
M10422,high_frequency,ACH,outreach,2023-07-01,2023-08-01
M10423,occasional,Check,organic,2023-08-01,
M10424,occasional,Check,organic,2023-08-01,2023-10-01
M10425,high_frequency,Check,integrated,2023-08-01,2024-11-01
M10426,regular,ACH,organic,2023-08-01,2023-11-01
M10427,occasional,Check,organic,2023-08-01,
M10428,occasional,Check,organic,2023-08-01,2024-01-01
M10429,occasional,Check,organic,2023-08-01,
M10430,occasional,Check,outreach,2023-08-01,2023-12-01
M10431,high_frequency,ACH,integrated,2023-08-01,2023-08-01
M10432,occasional,Check,integrated,2023-08-01,
M10433,regular,Check,integrated,2023-08-01,
M10434,high_frequency,ACH,outreach,2023-08-01,2023-08-01
M10435,regular,Check,integrated,2023-08-01,
M10436,high_frequency,ACH,organic,2023-08-01,2025-11-01
M10437,regular,Check,outreach,2023-08-01,2023-08-01
M10438,high_frequency,Check,integrated,2023-08-01,
M10439,regular,Check,integrated,2023-08-01,2023-08-01
M10440,occasional,Check,integrated,2023-08-01,2024-01-01
M10441,high_frequency,ACH,organic,2023-08-01,2025-03-01
M10442,high_frequency,ACH,outreach,2023-08-01,2024-03-01
M10443,occasional,ACH,integrated,2023-08-01,
M10444,regular,ACH,outreach,2023-08-01,2023-11-01
M10445,regular,Check,outreach,2023-08-01,2024-05-01
M10446,regular,Check,organic,2023-08-01,2023-12-01
M10447,occasional,Check,outreach,2023-08-01,
M10448,regular,ACH,organic,2023-08-01,2023-10-01
M10449,occasional,ACH,organic,2023-08-01,2023-08-01
M10450,regular,Check,organic,2023-08-01,2024-04-01
M10451,regular,ACH,integrated,2023-08-01,
M10452,occasional,Check,outreach,2023-08-01,
M10453,high_frequency,Check,organic,2023-08-01,2024-06-01
M10454,occasional,ACH,outreach,2023-08-01,2024-10-01
M10455,occasional,Check,outreach,2023-08-01,2025-05-01
M10456,high_frequency,ACH,organic,2023-08-01,2025-08-01
M10457,occasional,ACH,integrated,2023-08-01,
M10458,occasional,ACH,integrated,2023-08-01,
M10459,high_frequency,ACH,organic,2023-08-01,2023-10-01
M10460,occasional,ACH,outreach,2023-08-01,2025-01-01
M10461,regular,Check,integrated,2023-08-01,
M10462,regular,Check,organic,2023-08-01,
M10463,occasional,ACH,outreach,2023-08-01,
M10464,occasional,ACH,organic,2023-08-01,
M10465,occasional,Check,organic,2023-08-01,
M10466,occasional,ACH,outreach,2023-08-01,2024-09-01
M10467,high_frequency,ACH,integrated,2023-08-01,2023-12-01
M10468,high_frequency,Check,organic,2023-08-01,2023-12-01
M10469,regular,Check,integrated,2023-08-01,
M10470,regular,Check,integrated,2023-08-01,
M10471,occasional,Check,outreach,2023-08-01,2023-10-01
M10472,occasional,Check,integrated,2023-08-01,
M10473,occasional,ACH,integrated,2023-08-01,
M10474,regular,Check,organic,2023-08-01,
M10475,high_frequency,ACH,integrated,2023-08-01,2024-09-01
M10476,occasional,Check,integrated,2023-08-01,2024-01-01
M10477,occasional,ACH,organic,2023-08-01,2023-09-01
M10478,occasional,Check,outreach,2023-08-01,
M10479,occasional,ACH,integrated,2023-08-01,2024-10-01
M10480,regular,ACH,outreach,2023-08-01,2024-02-01
M10481,regular,ACH,organic,2023-08-01,2023-11-01
M10482,high_frequency,Check,outreach,2023-08-01,2025-07-01
M10483,occasional,Check,organic,2023-08-01,2025-09-01
M10484,high_frequency,ACH,organic,2023-08-01,2023-08-01
M10485,high_frequency,ACH,organic,2023-08-01,2023-11-01
M10486,occasional,Check,integrated,2023-08-01,
M10487,regular,ACH,integrated,2023-08-01,
M10488,occasional,Check,outreach,2023-08-01,2024-06-01
M10489,regular,ACH,organic,2023-08-01,2023-10-01
M10490,high_frequency,Check,outreach,2023-08-01,2023-12-01
M10491,regular,Check,organic,2023-09-01,
M10492,regular,ACH,integrated,2023-09-01,
M10493,occasional,Check,organic,2023-09-01,
M10494,regular,ACH,organic,2023-09-01,2023-11-01
M10495,occasional,Check,outreach,2023-09-01,
M10496,occasional,ACH,outreach,2023-09-01,2025-08-01
M10497,occasional,ACH,outreach,2023-09-01,2023-09-01
M10498,occasional,Check,integrated,2023-09-01,
M10499,regular,Check,outreach,2023-09-01,2024-02-01
M10500,high_frequency,ACH,integrated,2023-09-01,
M10501,occasional,Check,organic,2023-09-01,2023-10-01
M10502,regular,ACH,integrated,2023-09-01,2024-07-01
M10503,high_frequency,Check,integrated,2023-09-01,
M10504,occasional,Check,integrated,2023-09-01,2023-11-01
M10505,regular,Check,organic,2023-09-01,2024-05-01
M10506,regular,Check,integrated,2023-09-01,
M10507,occasional,ACH,integrated,2023-09-01,
M10508,occasional,Check,outreach,2023-09-01,2024-06-01
M10509,regular,Check,organic,2023-09-01,2023-12-01
M10510,occasional,ACH,integrated,2023-09-01,
M10511,regular,ACH,organic,2023-09-01,2024-12-01
M10512,occasional,ACH,outreach,2023-09-01,2025-09-01
M10513,regular,ACH,outreach,2023-09-01,2023-10-01
M10514,occasional,Check,organic,2023-09-01,
M10515,regular,Check,integrated,2023-09-01,
M10516,occasional,Check,outreach,2023-09-01,2024-08-01
