merchant_id,month,payments,volume
M10094,2023-03-01,4,27112.42
M10095,2023-03-01,3,10423.48
M10098,2023-03-01,1,1204.5
M10099,2023-03-01,4,33686.79
M10100,2023-03-01,1,5998.41
M10101,2023-03-01,1,1460.75
M10102,2023-03-01,1,2556.66
M10103,2023-03-01,1,1936.1
M10107,2023-03-01,1,5728.56
M10113,2023-03-01,7,75802.57
M10114,2023-03-01,1,2580.57
M10115,2023-03-01,1,3136.71
M10116,2023-03-01,5,47776.66
M10117,2023-03-01,2,3403.21
M10119,2023-03-01,1,665.43
M10120,2023-03-01,1,521.14
M10127,2023-03-01,2,6088.41
M10128,2023-03-01,3,30383.68
M10129,2023-03-01,3,25984.82
M10130,2023-03-01,1,752.51
M10131,2023-03-01,3,18571.38
M10135,2023-03-01,1,565.3
M10136,2023-03-01,3,19882.46
M10137,2023-03-01,3,21364.58
M10138,2023-03-01,5,36520.28
M10139,2023-03-01,3,12706.63
M10141,2023-03-01,3,31870.38
M10143,2023-03-01,1,4684.62
M10144,2023-03-01,1,1877.26
M10145,2023-03-01,1,976.98
M10148,2023-03-01,3,27584.93
M10149,2023-03-01,4,14764.89
M10150,2023-03-01,1,4359.58
M10151,2023-03-01,4,25299.78
M10153,2023-03-01,1,488.02
M10154,2023-03-01,2,1684.51
M10158,2023-03-01,1,2418.14
M10159,2023-03-01,1,892.08
M10160,2023-03-01,5,48705.65
M10163,2023-03-01,1,5551.81
M10167,2023-03-01,1,493.57
M10168,2023-03-01,5,31842.83
M10169,2023-03-01,1,1769.4
M10170,2023-03-01,2,2452.38
M10001,2023-04-01,2,9212.23
M10002,2023-04-01,2,6695.17
M10003,2023-04-01,1,510.08
M10004,2023-04-01,1,1638.59
M10006,2023-04-01,4,47647.69
M10007,2023-04-01,4,32494.18
M10010,2023-04-01,2,4393.87
M10011,2023-04-01,1,741.66
M10013,2023-04-01,1,1206.04
M10017,2023-04-01,5,46186.28
M10018,2023-04-01,4,32489.33
M10020,2023-04-01,3,11876.4
M10021,2023-04-01,1,1120.67
M10023,2023-04-01,1,887.47
M10026,2023-04-01,1,966.21
M10029,2023-04-01,2,4126.31
M10037,2023-04-01,1,3972.32
M10038,2023-04-01,1,1054.73
M10042,2023-04-01,1,330.36
M10043,2023-04-01,2,944.95
M10044,2023-04-01,3,15193.06
M10048,2023-04-01,1,385.78
M10049,2023-04-01,2,8775.53
M10054,2023-04-01,1,1867.56
M10057,2023-04-01,1,496.71
M10062,2023-04-01,1,1623.86
M10065,2023-04-01,1,5615.52
M10068,2023-04-01,6,63540.13
M10069,2023-04-01,1,1358.94
M10073,2023-04-01,4,29286.11
M10076,2023-04-01,6,40886.76
M10077,2023-04-01,8,79091.12
M10079,2023-04-01,1,371.69
M10081,2023-04-01,8,57845.03
M10082,2023-04-01,1,1009.52
M10086,2023-04-01,5,50314.07
M10089,2023-04-01,9,78670.8
M10091,2023-04-01,1,1398.46
M10092,2023-04-01,7,43262.03
M10093,2023-04-01,1,1033.43
M10094,2023-04-01,3,25659.57
M10095,2023-04-01,2,3271.3
M10096,2023-04-01,1,4105.56
M10097,2023-04-01,2,973.79
M10098,2023-04-01,1,353.0
M10099,2023-04-01,12,109438.98
M10107,2023-04-01,1,2736.38
M10110,2023-04-01,2,6686.33
M10112,2023-04-01,3,1625.33
M10114,2023-04-01,2,3851.07
M10116,2023-04-01,3,19186.23
M10118,2023-04-01,1,999.6
M10120,2023-04-01,1,1549.07
M10122,2023-04-01,2,8769.2
M10124,2023-04-01,1,467.19
M10125,2023-04-01,3,12257.97
M10127,2023-04-01,1,3069.87
M10128,2023-04-01,5,29725.19
M10130,2023-04-01,1,655.45
M10131,2023-04-01,8,66514.71
M10132,2023-04-01,2,1567.5
M10134,2023-04-01,3,10374.85
M10135,2023-04-01,2,1589.92
M10136,2023-04-01,4,37682.73
M10138,2023-04-01,5,31067.21
M10139,2023-04-01,1,3130.32
M10143,2023-04-01,3,16918.01
M10146,2023-04-01,1,528.44
M10147,2023-04-01,1,1822.34
M10148,2023-04-01,5,43982.19
M10149,2023-04-01,1,3875.32
M10150,2023-04-01,4,41825.7
M10151,2023-04-01,3,33736.14
M10152,2023-04-01,3,10528.56
M10154,2023-04-01,1,588.64
M10155,2023-04-01,3,11399.93
M10157,2023-04-01,1,736.55
M10167,2023-04-01,1,454.17
M10172,2023-04-01,7,75368.51
M10173,2023-04-01,1,747.88
M10177,2023-04-01,1,311.86
M10178,2023-04-01,2,1561.39
M10179,2023-04-01,4,37195.89
M10180,2023-04-01,4,31252.26
M10181,2023-04-01,3,31589.79
M10184,2023-04-01,2,10374.35
M10185,2023-04-01,6,39915.26
M10186,2023-04-01,1,772.67
M10187,2023-04-01,1,535.49
M10188,2023-04-01,3,10909.1
M10189,2023-04-01,3,19756.25
M10190,2023-04-01,1,4358.16
M10192,2023-04-01,1,911.4
M10194,2023-04-01,1,7590.12
M10195,2023-04-01,1,2422.07
M10196,2023-04-01,5,43848.16
M10197,2023-04-01,2,7039.34
M10200,2023-04-01,1,170.36
M10201,2023-04-01,1,1919.61
M10203,2023-04-01,1,4150.8
M10206,2023-04-01,1,4612.86
M10207,2023-04-01,6,48639.36
M10208,2023-04-01,3,10751.31
M10209,2023-04-01,1,4103.05
M10212,2023-04-01,4,25605.52
M10213,2023-04-01,1,1328.36
M10216,2023-04-01,2,11032.3
M10217,2023-04-01,4,18879.71
M10218,2023-04-01,1,615.8
M10220,2023-04-01,1,1949.82
M10222,2023-04-01,6,36949.62
M10223,2023-04-01,2,3074.99
M10227,2023-04-01,7,59378.4
M10001,2023-05-01,1,1965.56
M10004,2023-05-01,1,1823.43
M10006,2023-05-01,5,49495.08
M10007,2023-05-01,3,19121.62
M10013,2023-05-01,1,870.98
M10017,2023-05-01,2,23990.92
M10018,2023-05-01,8,72539.27
M10019,2023-05-01,1,4623.63
M10021,2023-05-01,1,429.91
M10024,2023-05-01,1,180.57
M10026,2023-05-01,2,972.25
M10029,2023-05-01,4,9780.61
M10031,2023-05-01,1,1294.89
M10033,2023-05-01,1,409.55
M10034,2023-05-01,2,1483.52
M10038,2023-05-01,1,629.95
M10040,2023-05-01,1,1341.19
M10042,2023-05-01,1,1902.25
M10044,2023-05-01,1,6037.14
M10046,2023-05-01,1,1470.45
M10048,2023-05-01,1,533.43
M10049,2023-05-01,1,10397.46
M10051,2023-05-01,1,908.4
M10054,2023-05-01,3,5737.39
M10055,2023-05-01,1,975.41
M10056,2023-05-01,3,1713.36
M10065,2023-05-01,1,902.07
M10066,2023-05-01,1,909.75
M10067,2023-05-01,1,2134.37
M10068,2023-05-01,6,38158.31
M10069,2023-05-01,1,470.48
M10070,2023-05-01,1,565.7
M10072,2023-05-01,1,2465.96
M10073,2023-05-01,5,35021.29
M10075,2023-05-01,1,6282.75
M10076,2023-05-01,3,20377.38
M10080,2023-05-01,4,30395.55
M10081,2023-05-01,6,50815.81
M10082,2023-05-01,1,4052.54
M10085,2023-05-01,5,2726.82
M10086,2023-05-01,3,17738.47
M10089,2023-05-01,3,21668.68
M10091,2023-05-01,2,1848.56
M10094,2023-05-01,5,36602.75
M10096,2023-05-01,3,8519.2
M10099,2023-05-01,3,20826.43
M10106,2023-05-01,1,367.18
M10108,2023-05-01,1,1869.16
M10110,2023-05-01,2,5122.3
M10115,2023-05-01,3,13915.6
M10116,2023-05-01,5,36067.97
M10118,2023-05-01,2,804.34
M10119,2023-05-01,1,362.97
M10122,2023-05-01,1,3802.73
M10124,2023-05-01,1,837.97
M10125,2023-05-01,3,10634.47
M10127,2023-05-01,2,6240.7
M10128,2023-05-01,5,47581.79
M10130,2023-05-01,1,822.32
M10131,2023-05-01,2,11304.66
M10133,2023-05-01,2,834.21
M10136,2023-05-01,6,69355.09
M10138,2023-05-01,3,24349.17
M10139,2023-05-01,2,3875.51
M10140,2023-05-01,1,715.19
M10142,2023-05-01,1,584.78
M10147,2023-05-01,1,2541.06
M10148,2023-05-01,1,16767.92
M10149,2023-05-01,1,2796.18
M10150,2023-05-01,5,52583.39
M10155,2023-05-01,2,3281.0
M10156,2023-05-01,2,1660.07
M10158,2023-05-01,3,10310.58
M10159,2023-05-01,2,2266.97
M10160,2023-05-01,3,15450.02
M10165,2023-05-01,2,2059.64
M10170,2023-05-01,1,939.96
M10177,2023-05-01,1,403.91
M10178,2023-05-01,2,1598.82
M10179,2023-05-01,4,25566.18
M10180,2023-05-01,2,12726.01
M10183,2023-05-01,2,4545.98
M10184,2023-05-01,5,56445.44
M10185,2023-05-01,4,30124.78
M10188,2023-05-01,3,13667.39
M10189,2023-05-01,1,10069.45
M10190,2023-05-01,3,12143.99
M10192,2023-05-01,2,1890.14
M10194,2023-05-01,6,45971.65
M10195,2023-05-01,1,1717.09
M10197,2023-05-01,2,4381.94
M10199,2023-05-01,2,3641.6
M10202,2023-05-01,2,1299.55
M10203,2023-05-01,3,9458.93
M10204,2023-05-01,1,1123.45
M10205,2023-05-01,1,506.58
M10206,2023-05-01,2,7072.5
M10207,2023-05-01,4,35959.67
M10208,2023-05-01,1,2622.5
M10209,2023-05-01,2,6463.63
M10212,2023-05-01,5,38588.48
M10214,2023-05-01,1,4206.36
M10216,2023-05-01,1,7396.44
M10217,2023-05-01,1,1762.25
M10222,2023-05-01,3,15688.36
M10223,2023-05-01,2,3578.44
M10226,2023-05-01,2,3049.52
M10227,2023-05-01,4,30513.37
M10229,2023-05-01,1,1531.85
M10233,2023-05-01,1,604.01
M10235,2023-05-01,1,661.66
M10236,2023-05-01,1,2272.44
M10237,2023-05-01,4,22261.9
M10238,2023-05-01,1,7367.35
M10241,2023-05-01,3,22262.52
M10244,2023-05-01,2,11261.28
M10245,2023-05-01,1,679.35
M10247,2023-05-01,8,67795.62
M10252,2023-05-01,8,64972.26
M10255,2023-05-01,2,5148.25
M10258,2023-05-01,2,7438.38
M10260,2023-05-01,1,272.42
M10261,2023-05-01,2,7751.94
M10264,2023-05-01,2,6755.69
M10269,2023-05-01,1,8774.87
M10271,2023-05-01,10,89616.23
M10272,2023-05-01,1,5446.85
M10274,2023-05-01,1,1651.84
M10275,2023-05-01,4,28449.2
M10277,2023-05-01,2,3504.88
M10280,2023-05-01,5,45231.65
M10281,2023-05-01,1,8706.35
M10282,2023-05-01,2,3164.1
M10283,2023-05-01,3,31790.13
M10284,2023-05-01,1,1607.65
M10285,2023-05-01,1,1170.27
M10286,2023-05-01,2,9973.98
M10289,2023-05-01,6,61947.62
M10291,2023-05-01,1,584.63
M10002,2023-06-01,4,13373.95
M10003,2023-06-01,1,570.74
M10004,2023-06-01,1,2302.37
M10006,2023-06-01,7,56659.73
M10007,2023-06-01,4,33765.89
M10008,2023-06-01,1,236.16
M10015,2023-06-01,1,552.16
M10017,2023-06-01,5,56967.06
M10018,2023-06-01,4,35875.94
M10019,2023-06-01,1,2117.88
M10020,2023-06-01,3,6664.25
M10023,2023-06-01,1,2134.71
M10028,2023-06-01,1,5956.29
M10040,2023-06-01,1,3989.37
M10044,2023-06-01,2,8476.18
M10046,2023-06-01,2,3618.82
M10047,2023-06-01,1,332.02
M10049,2023-06-01,1,2380.74
M10051,2023-06-01,1,1088.38
M10054,2023-06-01,1,4117.26
M10061,2023-06-01,1,675.32
M10062,2023-06-01,1,3004.23
M10065,2023-06-01,2,4887.34
M10066,2023-06-01,1,191.0
M10068,2023-06-01,9,70816.33
M10069,2023-06-01,1,1141.05
M10070,2023-06-01,1,1158.04
M10072,2023-06-01,3,7936.1
M10073,2023-06-01,5,45665.66
M10074,2023-06-01,2,900.77
M10075,2023-06-01,1,2956.5
M10076,2023-06-01,2,21266.11
M10080,2023-06-01,5,41140.35
M10081,2023-06-01,5,31804.77
M10082,2023-06-01,1,1397.49
M10084,2023-06-01,2,1660.37
M10086,2023-06-01,3,28510.55
M10089,2023-06-01,3,33357.37
M10090,2023-06-01,1,367.75
M10093,2023-06-01,2,6301.1
M10094,2023-06-01,5,47081.84
M10095,2023-06-01,1,3334.56
M10096,2023-06-01,2,7523.38
M10099,2023-06-01,4,21721.24
M10101,2023-06-01,2,1290.66
M10102,2023-06-01,1,2338.79
M10103,2023-06-01,3,13631.76
M10107,2023-06-01,1,3188.72
M10109,2023-06-01,1,765.14
M10110,2023-06-01,5,12924.67
M10112,2023-06-01,1,781.07
M10115,2023-06-01,1,4557.93
M10116,2023-06-01,5,54417.45
M10119,2023-06-01,1,308.77
M10124,2023-06-01,1,605.24
M10125,2023-06-01,1,1946.57
M10127,2023-06-01,2,7380.06
M10128,2023-06-01,1,11770.1
M10130,2023-06-01,2,1534.16
M10131,2023-06-01,3,17105.74
M10132,2023-06-01,1,333.81
M10134,2023-06-01,1,1107.35
M10136,2023-06-01,5,35385.87
M10138,2023-06-01,5,37425.59
M10139,2023-06-01,1,3374.53
M10145,2023-06-01,1,1101.29
M10147,2023-06-01,2,9015.02
M10148,2023-06-01,5,40322.4
M10149,2023-06-01,1,3312.9
M10150,2023-06-01,5,39935.53
M10157,2023-06-01,1,496.33
M10159,2023-06-01,1,486.1
M10165,2023-06-01,2,1247.73
M10175,2023-06-01,1,5149.89
M10176,2023-06-01,1,706.58
M10177,2023-06-01,1,1028.77
M10178,2023-06-01,1,520.74
M10179,2023-06-01,3,30876.48
M10180,2023-06-01,3,31253.97
M10182,2023-06-01,1,963.19
M10184,2023-06-01,4,39102.55
M10186,2023-06-01,1,294.64
M10188,2023-06-01,3,9096.26
M10189,2023-06-01,3,22935.05
M10192,2023-06-01,1,470.65
M10197,2023-06-01,1,1645.93
M10198,2023-06-01,1,432.65
M10199,2023-06-01,1,1869.43
M10203,2023-06-01,1,1750.82
M10204,2023-06-01,1,448.27
M10206,2023-06-01,3,15496.61
M10208,2023-06-01,3,8377.12
M10209,2023-06-01,1,1935.08
M10212,2023-06-01,7,46203.58
M10214,2023-06-01,2,6099.83
M10215,2023-06-01,2,879.44
M10216,2023-06-01,1,4244.28
M10217,2023-06-01,2,18192.48
M10218,2023-06-01,1,1559.82
M10220,2023-06-01,2,5170.11
M10222,2023-06-01,6,43495.38
M10223,2023-06-01,1,3817.0
M10224,2023-06-01,1,550.39
M10225,2023-06-01,1,1923.14
M10226,2023-06-01,1,3801.22
M10229,2023-06-01,1,2107.95
M10231,2023-06-01,2,5819.05
M10232,2023-06-01,1,4921.71
M10236,2023-06-01,2,5415.2
M10237,2023-06-01,6,37836.77
M10238,2023-06-01,6,67388.91
M10240,2023-06-01,1,493.2
M10241,2023-06-01,7,63224.6
M10243,2023-06-01,1,2474.95
M10244,2023-06-01,2,17688.29
M10245,2023-06-01,1,1659.63
M10246,2023-06-01,1,353.53
M10247,2023-06-01,5,31608.63
M10250,2023-06-01,2,6581.37
M10252,2023-06-01,6,31726.2
M10253,2023-06-01,1,514.22
M10254,2023-06-01,3,7294.6
M10255,2023-06-01,1,4160.15
M10260,2023-06-01,1,115.19
M10261,2023-06-01,2,8430.16
M10264,2023-06-01,1,3527.14
M10266,2023-06-01,2,8771.31
M10267,2023-06-01,1,560.14
M10269,2023-06-01,7,37366.65
M10270,2023-06-01,1,1939.17
M10271,2023-06-01,3,23737.28
M10272,2023-06-01,3,21899.03
M10273,2023-06-01,1,1122.87
M10274,2023-06-01,1,328.52
M10275,2023-06-01,5,48355.6
M10276,2023-06-01,1,635.06
M10277,2023-06-01,2,6875.76
M10281,2023-06-01,4,26472.53
M10283,2023-06-01,4,26294.26
M10284,2023-06-01,1,444.85
M10286,2023-06-01,3,7467.5
M10292,2023-06-01,1,383.96
M10294,2023-06-01,2,4548.17
M10297,2023-06-01,1,1274.06
M10302,2023-06-01,2,10625.71
M10303,2023-06-01,1,701.0
M10304,2023-06-01,1,1408.63
M10305,2023-06-01,1,3519.08
M10306,2023-06-01,1,1794.37
M10308,2023-06-01,4,40526.66
M10309,2023-06-01,1,2289.08
M10310,2023-06-01,1,1886.63
M10313,2023-06-01,2,1478.49
M10314,2023-06-01,3,6847.83
M10315,2023-06-01,1,1079.89
M10317,2023-06-01,2,1051.01
M10318,2023-06-01,6,51706.28
M10321,2023-06-01,2,5304.09
M10324,2023-06-01,2,623.67
M10327,2023-06-01,6,47240.17
M10328,2023-06-01,1,7304.3
M10332,2023-06-01,1,1666.42
M10334,2023-06-01,6,43761.23
M10335,2023-06-01,2,5792.54
M10340,2023-06-01,1,1516.85
M10341,2023-06-01,2,3677.74
M10342,2023-06-01,1,1625.87
M10343,2023-06-01,5,32204.1
M10344,2023-06-01,1,1510.1
M10346,2023-06-01,1,707.43
M10347,2023-06-01,5,42664.77
M10348,2023-06-01,1,388.04
M10350,2023-06-01,1,4300.95
M10352,2023-06-01,2,3798.31
M10353,2023-06-01,2,1439.24
M10356,2023-06-01,1,1915.67
M10002,2023-07-01,1,927.03
M10003,2023-07-01,1,352.71
M10007,2023-07-01,9,77059.84
M10011,2023-07-01,1,411.43
M10017,2023-07-01,4,30280.81
M10018,2023-07-01,3,30563.58
M10020,2023-07-01,5,27656.28
M10028,2023-07-01,3,7192.04
M10034,2023-07-01,1,402.64
M10043,2023-07-01,2,1398.9
M10044,2023-07-01,3,5309.7
M10046,2023-07-01,1,557.94
M10048,2023-07-01,1,224.68
M10054,2023-07-01,1,3799.38
M10056,2023-07-01,1,493.19
M10057,2023-07-01,1,581.34
M10065,2023-07-01,1,1711.0
M10068,2023-07-01,4,32869.87
M10072,2023-07-01,1,3028.94
M10073,2023-07-01,3,23973.2
M10074,2023-07-01,1,1034.29
M10075,2023-07-01,1,3899.36
M10076,2023-07-01,4,37480.97
M10080,2023-07-01,7,50220.31
M10081,2023-07-01,5,44527.59
M10082,2023-07-01,1,3010.42
M10086,2023-07-01,6,40204.23
M10089,2023-07-01,1,5374.87
M10090,2023-07-01,1,1351.85
M10094,2023-07-01,2,10646.29
M10095,2023-07-01,1,1867.09
M10096,2023-07-01,3,5718.17
M10097,2023-07-01,2,1305.48
M10101,2023-07-01,1,254.75
M10107,2023-07-01,1,2356.75
M10108,2023-07-01,1,933.11
M10109,2023-07-01,2,1964.81
M10110,2023-07-01,2,4568.05
M10111,2023-07-01,1,1817.47
M10112,2023-07-01,1,222.5
M10116,2023-07-01,2,11204.8
M10120,2023-07-01,2,2193.35
M10121,2023-07-01,1,663.7
M10123,2023-07-01,3,1813.34
M10125,2023-07-01,1,2081.72
M10127,2023-07-01,1,2934.54
M10128,2023-07-01,3,34079.1
M10130,2023-07-01,1,962.81
M10131,2023-07-01,5,27923.75
M10136,2023-07-01,6,44860.45
M10138,2023-07-01,1,7685.86
M10146,2023-07-01,1,1332.91
M10147,2023-07-01,1,2970.59
M10148,2023-07-01,4,39862.15
M10149,2023-07-01,3,11552.52
M10150,2023-07-01,6,82906.09
M10154,2023-07-01,1,631.8
M10170,2023-07-01,2,2083.76
M10177,2023-07-01,1,466.09
M10179,2023-07-01,4,30707.67
M10180,2023-07-01,3,27844.2
M10183,2023-07-01,2,8104.27
M10184,2023-07-01,5,34756.1
M10188,2023-07-01,1,1956.66
M10189,2023-07-01,5,38062.52
M10192,2023-07-01,1,1805.63
M10197,2023-07-01,2,6537.62
M10199,2023-07-01,1,2611.75
M10201,2023-07-01,1,1778.9
M10203,2023-07-01,2,7171.79
M10205,2023-07-01,1,1184.84
M10206,2023-07-01,1,2519.04
M10207,2023-07-01,8,53226.0
M10208,2023-07-01,2,3034.92
M10209,2023-07-01,1,2699.32
M10211,2023-07-01,1,1069.71
M10212,2023-07-01,4,36262.72
M10216,2023-07-01,1,973.15
M10220,2023-07-01,3,6493.02
M10222,2023-07-01,2,20366.98
M10229,2023-07-01,1,750.08
M10231,2023-07-01,3,11290.35
M10232,2023-07-01,2,7354.94
M10233,2023-07-01,2,1219.03
M10235,2023-07-01,1,532.11
M10236,2023-07-01,1,4231.72
M10237,2023-07-01,3,18981.63
M10238,2023-07-01,9,65513.06
M10241,2023-07-01,2,10906.58
M10242,2023-07-01,2,1795.28
M10244,2023-07-01,4,45957.37
M10245,2023-07-01,2,2295.53
M10250,2023-07-01,2,5375.75
M10252,2023-07-01,3,16226.22
M10253,2023-07-01,1,847.32
M10254,2023-07-01,1,2778.85
M10255,2023-07-01,1,3362.2
M10258,2023-07-01,1,2719.33
M10261,2023-07-01,1,3715.66
M10264,2023-07-01,1,3983.61
M10266,2023-07-01,2,4474.33
M10267,2023-07-01,3,2632.17
M10272,2023-07-01,3,29717.03
M10275,2023-07-01,1,7448.09
M10278,2023-07-01,1,631.85
M10281,2023-07-01,6,63226.36
M10283,2023-07-01,6,59574.59
M10285,2023-07-01,1,457.08
M10292,2023-07-01,1,790.19
M10293,2023-07-01,2,1008.62
M10294,2023-07-01,3,13694.89
M10295,2023-07-01,1,3643.18
M10300,2023-07-01,1,768.88
M10301,2023-07-01,1,858.58
M10303,2023-07-01,1,1092.69
M10304,2023-07-01,1,499.39
M10306,2023-07-01,2,6040.41
M10307,2023-07-01,1,2876.59
M10308,2023-07-01,5,35895.53
M10310,2023-07-01,3,10173.43
M10311,2023-07-01,5,15747.78
M10312,2023-07-01,1,313.76
M10314,2023-07-01,2,3671.55
M10316,2023-07-01,1,1882.13
M10318,2023-07-01,3,28183.05
M10321,2023-07-01,1,2608.09
M10323,2023-07-01,3,8914.02
M10324,2023-07-01,1,682.75
M10327,2023-07-01,5,39301.17
M10329,2023-07-01,4,48274.34
M10331,2023-07-01,1,1555.15
M10332,2023-07-01,1,3646.88
M10333,2023-07-01,2,4969.06
M10334,2023-07-01,5,51223.53
M10335,2023-07-01,1,2504.21
M10336,2023-07-01,1,987.71
M10337,2023-07-01,2,6447.54
M10340,2023-07-01,1,944.06
M10341,2023-07-01,3,12383.53
M10342,2023-07-01,2,8309.6
M10343,2023-07-01,6,65753.99
M10344,2023-07-01,3,3756.6
M10345,2023-07-01,1,930.67
M10346,2023-07-01,1,508.14
M10347,2023-07-01,3,22093.51
M10349,2023-07-01,1,462.83
M10350,2023-07-01,1,4002.48
M10353,2023-07-01,1,244.07
M10355,2023-07-01,1,668.83
M10360,2023-07-01,7,64163.68
M10361,2023-07-01,5,35762.76
M10363,2023-07-01,3,7646.94
M10364,2023-07-01,1,2447.12
M10365,2023-07-01,1,712.41
M10366,2023-07-01,2,4467.87
M10367,2023-07-01,7,59573.96
M10369,2023-07-01,1,349.51
M10370,2023-07-01,6,38416.86
M10371,2023-07-01,2,4776.59
M10374,2023-07-01,1,653.75
M10377,2023-07-01,7,62886.85
M10383,2023-07-01,3,11404.4
M10384,2023-07-01,1,804.18
M10385,2023-07-01,2,7200.32
M10389,2023-07-01,1,1338.59
M10391,2023-07-01,2,14652.54
M10392,2023-07-01,1,4188.09
M10393,2023-07-01,1,797.86
M10395,2023-07-01,2,4054.77
M10396,2023-07-01,1,1408.94
M10398,2023-07-01,2,29358.54
M10402,2023-07-01,6,56180.25
M10403,2023-07-01,1,541.44
M10404,2023-07-01,1,794.05
M10405,2023-07-01,1,240.84
M10406,2023-07-01,4,18036.21
